#  Sitka City and Borough, Alaska 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,42.5
201602,42.9
201603,43.1
201604,43.4
201605,43.3
201606,43.3
201607,43.4
201608,43.5
201609,43.7
201610,43.5
201611,43.7
201612,43.3
201701,43
201702,42.4
201703,41.5
201704,41.4
201705,41.1
201706,40.9
201707,40.6
201708,40.6
201709,40.5
201710,40.5
201711,39.9
201712,40.3
201801,40.3
201802,40.1
201803,40.4
201804,40.2
201805,40.2
201806,40.3
201807,40.6
201808,40.6
201809,40.6
201810,40.9
201811,41.5
201812,41.6
201901,41.6
201902,41.5
201903,41.8
201904,41.9
201905,42.1
201906,42.2
201907,42.2
201908,42.3
201909,42.3
201910,42
201911,42
201912,42.2
202001,41.7
202002,42.1
202003,41.7
202004,41.5
202005,41.5
202006,41.3
202007,41.1
202008,40.9
202009,40.8
202010,40.8
202011,40.2
202012,40.3
202101,40.9
202102,40.5
202103,40.6
202104,40.6
202105,40.3
202106,40.5
202107,40.5
202108,40.6
202109,40.5
202110,40.5
202111,40.6
202112,39.6
202201,39.3
202202,39.8
202203,40.1
202204,40
202205,40.1
202206,40.2
202207,40.2
202208,40.3
202209,40.4
202210,40.9
202211,40.8
202212,41
202301,41.5
202302,41.2
202303,40.8
202304,40.9
202305,41
202306,40.8
202307,40.9
202308,41
202309,40.9
202310,40.7
202311,41.1
202312,41.9
202401,41.5
202402,41.6
202403,41.9
202404,42
202405,41.8
202406,41.9
202407,41.7
202408,41.6
202409,41.6
202410,41.4
202411,41.1
202412,41
202501,41.3
202502,41.2
202503,41.4
202504,41.4
202505,41.4
202506,41.2
202507,41.3
202508,41.3
202509,41.5
202510,41.7
202511,42
202512,41.1
202601,41
